2020-06-19 20:19:31,361:'f'
2020-06-19 20:19:31,515:'a'
2020-06-19 20:19:32,336:'c'
2020-06-19 20:19:32,645:'e'
2020-06-19 20:19:33,882:'b'
2020-06-19 20:19:34,515:'o'
2020-06-19 20:19:34,709:'o'
2020-06-19 20:19:35,098:'k'
2020-06-19 20:19:36,090:Key.space
2020-06-19 20:19:36,969:'s'
2020-06-19 20:19:37,084:'a'
2020-06-19 20:19:37,634:'h'
2020-06-19 20:19:37,937:'i'
2020-06-19 20:19:38,262:'l'
2020-06-19 20:19:38,650:Key.space
2020-06-19 20:19:38,936:'s'
2020-06-19 20:19:39,371:'i'
2020-06-19 20:19:39,950:'n'
2020-06-19 20:19:40,246:'g'
2020-06-19 20:19:40,312:'h'
2020-06-27 00:42:12,002:'s'
2020-06-27 00:42:12,299:'a'
2020-06-27 00:42:12,301:'h'
2020-06-27 00:42:12,302:'i'
2020-06-27 00:42:12,616:'l'
2020-06-27 00:42:12,879:'s'
2020-06-27 00:42:13,335:'i'
2020-06-27 00:42:14,078:'n'
2020-06-27 00:42:14,147:'g'
2020-06-27 00:42:14,232:'h'
2020-06-27 00:42:15,004:Key.space
2020-06-27 00:42:16,129:'u'
2020-06-27 00:42:16,809:'s'
2020-06-27 00:42:17,193:'h'
2020-06-27 00:42:17,401:'a'
2020-06-27 00:42:18,291:'g'
2020-06-27 00:42:18,455:'i'
2020-06-27 00:42:18,877:'r'
2020-06-27 00:42:19,088:'i'
2020-06-27 00:42:25,332:'n'
2020-06-27 00:42:25,923:'o'
2020-06-27 00:42:26,605:'t'
2020-06-27 00:42:26,787:'e'
2020-06-27 00:42:27,422:'p'
2020-06-27 00:42:27,672:'a'
2020-06-27 00:42:27,834:'d'
2020-06-27 00:42:28,176:Key.enter
2020-06-27 00:42:30,103:'u'
2020-06-27 00:42:30,414:'s'
2020-06-27 00:42:30,666:'h'
2020-06-27 00:42:30,842:'a'
2020-06-27 00:42:31,711:Key.space
2020-06-27 00:42:32,138:'i'
2020-06-27 00:42:32,363:'s'
2020-06-27 00:42:32,535:Key.space
2020-06-27 00:42:33,283:'a'
2020-06-27 00:42:33,427:Key.space
2020-06-27 00:42:33,827:'b'
2020-06-27 00:42:34,329:'o'
2020-06-27 00:42:34,928:Key.backspace
2020-06-27 00:42:35,305:'i'
2020-06-27 00:42:35,609:'t'
2020-06-27 00:42:36,666:'c'
2020-06-27 00:42:36,788:'h'
2020-06-27 00:42:37,660:Key.space
2020-06-27 00:42:40,464:'i'
2020-06-27 00:42:41,019:Key.space
2020-06-27 00:42:41,384:'w'
2020-06-27 00:42:41,542:'i'
2020-06-27 00:42:41,941:'l'
2020-06-27 00:42:42,086:'l'
2020-06-27 00:42:42,375:Key.space
2020-06-27 00:42:43,082:'f'
2020-06-27 00:42:43,330:'u'
2020-06-27 00:42:43,762:'c'
2020-06-27 00:42:44,019:'k'
2020-06-27 00:42:44,259:Key.space
2020-06-27 00:42:45,080:'h'
2020-06-27 00:42:45,136:'e'
2020-06-27 00:42:45,245:'r'
2020-06-27 00:42:45,904:Key.space
2020-06-27 00:42:46,512:'s'
2020-06-27 00:42:46,715:'h'
2020-06-27 00:42:47,051:'e'
2020-06-27 00:42:47,845:Key.space
2020-06-27 00:42:48,497:'w'
2020-06-27 00:42:48,676:'i'
2020-06-27 00:42:48,995:'l'
2020-06-27 00:42:49,160:'l'
2020-06-27 00:42:49,376:Key.space
2020-06-27 00:42:49,612:'e'
2020-06-27 00:42:49,851:'n'
2020-06-27 00:42:50,210:'j'
2020-06-27 00:42:50,663:'o'
2020-06-27 00:42:51,112:'y'
2020-06-27 00:42:51,329:Key.space
2020-06-27 00:42:51,514:'a'
2020-06-27 00:42:52,042:Key.space
2020-06-27 00:42:52,289:'l'
2020-06-27 00:42:52,692:'o'
2020-06-27 00:42:52,832:'t'
2020-07-18 09:10:02,158:'s'
2020-07-18 09:10:02,300:'a'
2020-07-18 09:10:02,870:'h'
2020-07-18 09:10:03,294:'i'
2020-07-18 09:10:03,628:'l'
2020-07-18 09:10:06,140:'a'
2020-07-18 09:10:06,440:'a'
2020-07-18 09:10:06,787:'d'
2020-07-18 09:10:07,117:'e'
2020-07-18 09:10:07,440:'s'
2020-07-18 09:10:07,930:'h'
2020-07-18 09:10:17,530:Key.ctrl_l
2020-07-18 09:10:17,779:'\x03'
